"","Melanocytic","Transitory.Melanocytic","Transitory","Int.Neural.crest.like","Neural.crest.like","Undifferentiated.Neural.crest.like","Undifferentiated"
"TCGA.BF.AAOX.01A.11R.A39D.07",8.9152,14.0406,0.0314,0.8339,-0.5547,0.518,-4.9358
"TCGA.BF.AAP0.06A.11R.A39D.07",9.3192,14.2133,3.1759,4.5465,2.4489,3.3361,-3.4842
"TCGA.BF.AAP1.01A.11R.A39D.07",4.0097,12.4917,3.6079,5.2076,2.3401,0.168,-6.3941
"TCGA.BF.AAP2.01A.11R.A40A.07",8.3677,14.516,2.698,5.1585,-0.6371,0.4252,-5.6346
"TCGA.BF.AAP4.01A.11R.A40A.07",10.5482,13.8561,0.1093,2.7215,0.4006,1.2791,-5.3651
"TCGA.BF.AAP6.01A.11R.A40A.07",7.646,13.8836,2.9104,3.8056,1.5894,1.2419,-7.2013
"TCGA.BF.AAP7.01A.11R.A40A.07",8.187,13.3677,6.4885,5.1133,2.9868,4.3978,-2.8536
"TCGA.BF.AAP8.01A.11R.A40A.07",8.6974,13.1772,1.1803,1.6286,-1.0786,-1.0185,-3.9193
"TCGA.D3.A1Q1.06A.21R.A18T.07",4.9633,12.6867,5.4349,6.7298,-2.5138,-0.7951,-6.2911
"TCGA.D3.A1Q3.06A.11R.A18T.07",8.1713,11.8279,-0.3682,2.0982,0.7337,1.3571,-5.9889
"TCGA.D3.A1Q4.06A.11R.A18T.07",0.6412,9.7612,5.4769,7.3106,5.6816,7.1761,-2.0708
"TCGA.D3.A1Q5.06A.11R.A18T.07",-2.3299,2.971,6.1147,7.4967,6.2035,8.7075,-0.8429
"TCGA.D3.A1Q6.06A.11R.A18T.07",-1.8451,0.6996,-1.9267,4.1522,8.0367,10.8182,-2.4289
"TCGA.D3.A1Q7.06A.11R.A18T.07",8.2771,12.7422,4.3546,4.1629,1.0134,5.3219,-2.4091
"TCGA.D3.A1Q8.06A.11R.A18T.07",-0.7242,5.2232,5.7232,8.2056,6.9222,8.7436,-2.5484
"TCGA.D3.A1Q9.06A.11R.A18T.07",9.0651,16.2159,2.0231,1.5079,-0.1534,-0.049,-4.8968
"TCGA.D3.A1QA.06A.11R.A18T.07",9.7322,12.4074,-0.4306,1.6748,-2.1375,-0.2815,-5.0003
"TCGA.D3.A1QA.07A.11R.A37K.07",9.1861,13.956,-1.5752,1.1296,-3.1451,0.3243,-6.5266
"TCGA.D3.A1QB.06A.11R.A18T.07",9.2835,13.9562,0.1267,1.1142,0.5112,0.2169,-4.8199
"TCGA.D3.A2J6.06A.11R.A18T.07",11.1901,14.7739,-0.6403,-0.0288,1.5678,0.4726,-5.499
"TCGA.D3.A2J7.06A.11R.A18T.07",8.0039,14.9346,3.144,6.8148,3.3535,4.6702,-6.4494
"TCGA.D3.A2J8.06A.11R.A18T.07",0.3057,-0.6625,-2.2224,1.2324,2.327,12.6483,6.0977
"TCGA.D3.A2J9.06A.11R.A18T.07",5.7592,10.7876,1.9423,4.8011,2.3098,3.6806,-2.9307
"TCGA.D3.A2JA.06A.11R.A18T.07",-1.2907,4.7652,4.1733,8.1613,8.0684,9.3297,-4.1591
"TCGA.D3.A2JB.06A.11R.A18T.07",8.4771,11.5885,0.9986,3.4029,1.847,2.7697,-3.1594
"TCGA.D3.A2JC.06A.11R.A18T.07",6.6266,14.5845,5.5909,4.8124,4.3839,2.9505,-5.5574
"TCGA.D3.A2JD.06A.11R.A18T.07",10.0764,15.0316,2.494,3.3004,1.0461,3.1323,-4.0301
"TCGA.D3.A2JE.06A.11R.A37K.07",2.8295,11.4718,3.0782,4.5115,-0.449,-1.1271,-7.2544
"TCGA.D3.A2JF.06A.11R.A18S.07",-1.5927,3.7797,2.4316,8.2158,6.397,5.7971,-5.8888
"TCGA.D3.A2JG.06A.11R.A18T.07",8.0762,13.0553,1.0857,4.3317,1.2228,2.5211,-4.4526
"TCGA.D3.A2JH.06A.11R.A18T.07",7.4541,13.0458,2.836,3.9664,1.7284,0.3896,-5.0182
"TCGA.D3.A2JK.06A.11R.A18S.07",8.2047,13.5738,3.9655,4.1112,1.5045,1.5993,-4.4332
"TCGA.D3.A2JL.06A.11R.A18S.07",8.4681,15.9171,0.8599,2.3221,-0.138,-1.2131,-7.0276
"TCGA.D3.A2JN.06A.11R.A18S.07",-1.765,5.5476,3.0537,6.3795,6.9103,7.7629,-4.8041
"TCGA.D3.A2JO.06A.11R.A18S.07",8.0751,13.471,3.1326,3.957,1.5379,1.911,-4.2435
"TCGA.D3.A2JP.06A.11R.A18S.07",5.0157,11.8731,6.0876,6.1709,3.2086,2.2934,-6.789
"TCGA.D3.A3BZ.06A.12R.A18S.07",9.6695,12.2505,0.639,1.8132,3.7932,7.1704,-0.3215
"TCGA.D3.A3C1.06A.12R.A18S.07",3.5117,11.0563,5.2792,5.9701,5.1392,6.3584,-3.9715
"TCGA.D3.A3C3.06A.12R.A18S.07",4.6544,10.4987,4.1384,4.3874,-0.0617,-1.0841,-6.2152
"TCGA.D3.A3C6.06A.12R.A18U.07",3.0322,12.52,6.4353,6.6021,-0.2856,0.7139,-8.2383
"TCGA.D3.A3C7.06A.11R.A18U.07",0.2654,5.8488,5.825,8.2149,7.0821,8.6035,-5.4607
"TCGA.D3.A3C8.06A.12R.A18S.07",2.0093,3.849,-1.0492,2.3406,4.7822,6.8146,-0.5706
"TCGA.D3.A3CB.06A.11R.A18S.07",5.9148,12.1036,5.9103,3.7254,2.6128,3.626,-2.3251
"TCGA.D3.A3CC.06A.11R.A18S.07",7.5676,13.9742,4.9531,3.9018,0.6823,1.8828,-5.2378
"TCGA.D3.A3CE.06A.11R.A18S.07",4.2648,12.3947,5.2011,5.6676,0.1116,1.4728,-4.8827
"TCGA.D3.A3CF.06A.11R.A18T.07",10.2201,13.7978,3.0287,3.3192,2.7144,4.1304,-4.5697
"TCGA.D3.A3ML.06A.11R.A21D.07",4.8701,13.7675,3.207,4.3776,-0.3024,1.2583,-9.0405
"TCGA.D3.A3MO.06A.11R.A21D.07",2.5279,11.6149,6.6693,7.1531,3.0899,5.2378,-5.0574
"TCGA.D3.A3MR.06A.11R.A21D.07",5.4889,12.3511,3.4205,4.2847,2.8273,3.8147,-5.9543
"TCGA.D3.A3MU.06A.11R.A21D.07",8.6604,14.3299,1.672,4.8222,3.4034,5.5247,-4.1189
"TCGA.D3.A3MV.06A.11R.A21D.07",2.2388,12.0844,5.351,7.7284,4.3492,4.116,-5.4596
"TCGA.D3.A51E.06A.11R.A266.07",8.1828,14.4111,3.2494,4.265,2.0494,1.638,-4.4037
"TCGA.D3.A51F.06A.11R.A266.07",4.4512,10.5745,3.7769,5.7436,4.3828,7.1232,-2.4587
"TCGA.D3.A51G.06A.11R.A266.07",-3.3933,3.382,3.8702,6.6606,6.5519,8.7513,-5.4106
"TCGA.D3.A51H.06A.12R.A266.07",7.7741,7.1044,-0.2616,-0.3051,0.2636,3.305,-2.2522
"TCGA.D3.A51J.06A.11R.A266.07",4.6291,13.9904,6.4932,5.3705,1.6032,2.0099,-6.0842
"TCGA.D3.A51K.06A.11R.A266.07",6.4464,11.3445,3.9527,1.4354,-2.2758,-1.4246,-6.5564
"TCGA.D3.A51N.06A.11R.A266.07",3.5547,10.2079,6.0818,6.2867,3.8441,2.9367,-7.5345
"TCGA.D3.A51R.06A.11R.A266.07",-4.4824,0.588,0.8642,4.1521,1.0466,2.7401,-2.3873
"TCGA.D3.A51T.06A.11R.A266.07",7.2554,13.2725,4.0767,4.5026,1.7,2.2179,-4.241
"TCGA.D3.A5GL.06A.11R.A27Q.07",10.3766,14.4056,2.3012,3.751,1.0281,1.6676,-8.591
"TCGA.D3.A5GN.06A.11R.A27Q.07",-0.3674,9.5428,5.3971,8.0262,5.5383,5.7033,-6.7683
"TCGA.D3.A5GO.06A.12R.A27Q.07",5.4581,8.6164,2.5969,5.5726,5.7952,4.6101,-5.9926
"TCGA.D3.A5GR.06A.11R.A27Q.07",1.8546,10.4735,5.816,6.2659,6.4273,5.9057,-4.0487
"TCGA.D3.A5GS.06A.11R.A27Q.07",6.6849,15.5238,4.7812,6.2737,3.2429,1.873,-6.1531
"TCGA.D3.A5GT.01A.12R.A311.07",7.225,14.2343,2.0707,2.9451,-1.375,-1.6559,-7.8532
"TCGA.D3.A5GU.06A.11R.A27Q.07",5.4894,14.2465,3.7096,4.6955,0.6185,-0.382,-6.6479
"TCGA.D3.A8GB.06A.11R.A37K.07",8.7873,13.3328,0.967,2.8248,3.3607,4.9149,-4.1393
"TCGA.D3.A8GC.06A.11R.A37K.07",5.4607,10.7624,-0.5362,3.1015,0.8835,3.141,-4.5147
"TCGA.D3.A8GD.06A.11R.A37K.07",6.9656,12.7742,0.9259,2.6806,1.6267,1.079,-4.5474
"TCGA.D3.A8GE.06A.11R.A37K.07",-1.7648,1.2398,1.0821,5.7308,4.6182,8.6925,-1.6006
"TCGA.D3.A8GI.06A.11R.A37K.07",10.7279,13.8052,-0.7354,2.8535,1.9199,4.0642,-4.2672
"TCGA.D3.A8GJ.06A.11R.A37K.07",7.8022,13.8897,3.6099,3.6907,-0.3911,1.0953,-5.5439
"TCGA.D3.A8GK.06A.11R.A37K.07",7.7469,14.4495,1.8933,3.7151,-0.1594,-0.1598,-7.1615
"TCGA.D3.A8GL.06A.11R.A37K.07",7.2468,14.0853,0.9451,2.7448,-1.5188,-0.4233,-7.2773
"TCGA.D3.A8GM.06A.11R.A37K.07",11.8088,14.4,-1.8432,1.2085,0.9488,1.2499,-5.6132
"TCGA.D3.A8GN.06A.11R.A37K.07",5.4679,12.2081,3.7436,4.709,1.5497,3.8646,-5.5018
"TCGA.D3.A8GO.06A.11R.A37K.07",2.0237,11.1657,5.7036,6.6771,5.5156,4.0662,-6.3739
"TCGA.D3.A8GP.06A.11R.A37K.07",6.5664,13.3924,4.0498,6.0191,0.7302,-1.1384,-7.0348
"TCGA.D3.A8GQ.06A.11R.A37K.07",-1.4285,4.5016,3.2392,5.4613,2.2893,6.1286,0.5494
"TCGA.D3.A8GR.06A.11R.A37K.07",9.9598,14.6751,1.6903,3.4845,-1.4622,-1.2165,-6.3683
"TCGA.D3.A8GS.06A.12R.A37K.07",6.326,12.0715,1.1385,3.0726,-0.9874,-1.4309,-6.1006
"TCGA.D3.A8GV.06A.11R.A37K.07",5.3588,13.4195,3.3573,3.6994,1.1162,-0.3347,-8.4243
"TCGA.D9.A148.06A.11R.A18S.07",11.0276,15.5267,2.1649,3.2976,0.4495,-0.425,-4.7235
"TCGA.D9.A149.06A.11R.A18S.07",9.2082,13.4145,0.6827,2.7429,0.0115,2.1373,-5.3966
"TCGA.D9.A1JW.06A.11R.A18S.07",10.3148,14.3276,-0.7855,1.1185,1.2312,1.917,-3.4438
"TCGA.D9.A1JX.06A.11R.A18S.07",6.0022,14.9847,5.5541,6.6449,1.0501,-1.5221,-7.3712
"TCGA.D9.A1X3.06A.11R.A18S.07",9.1298,13.7894,4.1886,4.9929,1.6793,2.2162,-7.757
"TCGA.D9.A3Z1.06A.11R.A239.07",10.0859,13.7964,-0.9981,-0.4698,-1.4191,-0.1426,-5.2771
"TCGA.D9.A3Z3.06A.11R.A239.07",9.5842,16.2111,2.5249,4.1975,1.3128,2.6467,-4.496
"TCGA.D9.A3Z4.01A.11R.A239.07",5.8856,13.8893,5.8138,5.8946,2.8224,2.5209,-5.6949
"TCGA.D9.A4Z2.01A.11R.A24X.07",5.0411,14.2041,7.5011,7.1187,2.4807,0.2951,-8.7829
"TCGA.D9.A4Z3.01A.11R.A266.07",5.3655,11.6701,3.6878,5.1644,-0.0405,0.1844,-6.5522
"TCGA.D9.A4Z5.01A.11R.A266.07",4.6576,11.4617,4.8694,6.6008,3.7868,4.897,-3.347
"TCGA.D9.A4Z6.06A.12R.A266.07",9.8682,16.923,2.3922,3.3805,-0.679,-0.2481,-5.8707
"TCGA.D9.A6E9.06A.12R.A311.07",10.0973,14.9835,1.5757,3.2118,1.9769,1.4739,-3.7726
"TCGA.D9.A6EA.06A.11R.A311.07",5.9851,13.4141,3.6132,5.0082,2.917,2.2303,-7.2251
"TCGA.D9.A6EC.06A.11R.A311.07",7.0727,10.1138,0.948,0.8838,0.8145,0.8791,-6.3659
"TCGA.D9.A6EG.06A.12R.A32P.07",10.929,13.6908,0.6111,0.4742,-1.6246,0.1866,-6.2152
"TCGA.DA.A1HV.06A.21R.A18S.07",4.5274,11.328,2.1771,4.8917,1.4883,0.9833,-4.7571
"TCGA.DA.A1HW.06A.11R.A18U.07",8.3473,14.769,4.1688,4.4688,1.2337,1.3239,-3.4595
"TCGA.DA.A1HY.06A.11R.A18T.07",-1.9561,4.1293,2.3452,8.6136,8.3341,8.6667,-7.6005
"TCGA.DA.A1I0.06A.11R.A20F.07",9.7716,12.8562,0.2207,1.6412,2.1779,3.3589,-4.7076
"TCGA.DA.A1I1.06A.12R.A18U.07",5.4929,12.9111,2.6661,6.3153,3.209,5.4008,-4.666
"TCGA.DA.A1I2.06A.21R.A18U.07",4.0076,12.916,3.9837,6.0586,3.6793,3.167,-5.8509
"TCGA.DA.A1I4.06A.11R.A18U.07",8.553,14.6556,2.6404,3.7286,4.5382,6.0742,-4.2878
"TCGA.DA.A1I5.06A.11R.A18T.07",9.2371,13.4421,5.2941,3.9711,3.4529,4.7947,-3.4646
"TCGA.DA.A1I7.06A.22R.A18S.07",-1.2111,7.615,5.8186,7.9355,8.3954,8.7448,-4.536
"TCGA.DA.A1I8.06A.11R.A18T.07",1.5423,8.4683,7.2966,8.3096,6.3538,5.0011,-6.6806
"TCGA.DA.A1IA.06A.11R.A18S.07",9.8435,16.5179,3.6347,4.1137,0.5439,0.6776,-4.6105
"TCGA.DA.A1IB.06A.11R.A18S.07",10.0566,12.9558,1.098,2.2986,2.461,4.3542,-0.7985
"TCGA.DA.A1IC.06A.11R.A18S.07",8.1558,13.8872,2.7421,3.6829,1.9999,1.5491,-5.068
"TCGA.DA.A3F2.06A.11R.A20F.07",4.2956,5.0723,0.7385,1.1375,3.3699,7.0327,1.1171
"TCGA.DA.A3F3.06A.11R.A20F.07",6.2958,13.9034,5.7222,5.3523,0.0441,0.3494,-5.8171
"TCGA.DA.A3F5.06A.11R.A20F.07",-1.7777,3.9077,0.4158,6.9509,6.5317,8.407,-4.1499
"TCGA.DA.A3F8.06A.11R.A20F.07",5.1051,12.52,3.6545,4.808,2.6568,3.6635,-4.0412
"TCGA.DA.A95V.06A.11R.A37K.07",9.6131,15.0637,3.1749,0.6494,-0.8341,0.4239,-4.1494
"TCGA.DA.A95W.06A.11R.A37K.07",5.6214,13.2907,3.6646,5.1178,-2.7148,-1.4887,-7.8048
"TCGA.DA.A95X.06A.11R.A37K.07",2.8786,9.2593,0.8796,4.4397,4.0468,3.9924,-6.741
"TCGA.DA.A95Y.06A.11R.A37K.07",11.5187,13.2997,0.3148,1.2253,0.3806,-1.1377,-6.684
"TCGA.DA.A95Z.06A.11R.A37K.07",5.0793,14.1537,3.9087,3.7779,-3.2062,-1.2236,-7.7784
"TCGA.DA.A960.01A.11R.A37K.07",9.0619,13.4799,-0.3958,2.6679,-2.924,-2.7206,-7.6406
"TCGA.EB.A1NK.01A.11R.A18T.07",10.0925,14.6465,0.3078,1.5572,1.9213,4.8802,-2.8283
"TCGA.EB.A24C.01A.11R.A18T.07",7.9807,13.9909,4.8063,5.4591,1.9534,2.5062,-3.5811
"TCGA.EB.A24D.01A.11R.A18T.07",6.2029,14.0673,1.4756,2.6746,-0.1596,0.6743,-5.1237
"TCGA.EB.A299.01A.21R.A18U.07",4.7309,9.8068,4.4081,6.8349,4.633,7.4992,0.4251
"TCGA.EB.A3HV.01A.11R.A21D.07",5.4947,13.8832,6.5293,7.099,4.8526,6.6559,0.1592
"TCGA.EB.A3XB.01A.11R.A239.07",10.6233,16.01,2.8189,3.7184,1.7683,2.3537,-5.6535
"TCGA.EB.A3XC.01A.11R.A239.07",9.6055,13.2031,0.2446,1.7841,2.4241,2.9988,-2.9762
"TCGA.EB.A3XD.01A.22R.A239.07",8.1744,12.6113,2.8394,3.5415,2.4218,7.5238,4.6252
"TCGA.EB.A3XE.01A.12R.A239.07",7.4502,14.8845,4.9709,6.547,2.2784,4.6372,-1.416
"TCGA.EB.A3XF.01A.31R.A239.07",6.9166,13.9611,4.3151,4.2917,0.4598,3.336,-4.998
"TCGA.EB.A3Y6.01A.21R.A239.07",9.7186,15.8565,5.292,5.4451,1.5989,1.6204,-5.8692
"TCGA.EB.A3Y7.01A.11R.A239.07",11.7784,12.6144,-0.5479,-0.2768,-0.9953,0.7573,-5.0225
"TCGA.EB.A41A.01A.11R.A24X.07",5.9557,10.8128,0.6175,2.3848,1.7091,2.5098,-6.1152
"TCGA.EB.A41B.01A.11R.A24X.07",9.4131,15.1577,0.8841,2.7219,-1.1495,-1.9674,-6.2772
"TCGA.EB.A42Y.01A.12R.A24X.07",7.8695,10.391,-0.469,0.1158,0.2588,4.1943,-4.1814
"TCGA.EB.A42Z.01A.12R.A24X.07",4.95,14.3499,6.1654,7.0098,4.3021,4.2691,-8.8276
"TCGA.EB.A430.01A.11R.A24X.07",9.5193,14.2208,1.9433,2.9121,-1.2444,-0.4066,-6.8339
"TCGA.EB.A431.01A.11R.A266.07",12.232,15.4584,0.939,1.7721,0.198,-0.4363,-5.8763
"TCGA.EB.A44N.01A.11R.A266.07",5.9605,13.2535,5.4985,6.1964,3.0539,5.8979,0.9706
"TCGA.EB.A44O.01A.11R.A266.07",10.4453,14.895,-1.7948,1.7417,0.9761,0.3392,-6.5723
"TCGA.EB.A44P.01A.11R.A266.07",5.1263,13.4313,5.7732,4.2761,1.3384,1.6779,-6.7742
"TCGA.EB.A44Q.06A.11R.A266.07",9.0871,12.315,-1.395,-0.9242,-1.2313,-0.2906,-2.8802
"TCGA.EB.A44R.06A.41R.A266.07",7.4997,12.4654,3.2951,4.2136,-0.0551,0.1782,-5.0239
"TCGA.EB.A4IQ.01A.12R.A266.07",8.5137,12.8551,1.5305,3.1382,2.2735,4.9287,1.3674
"TCGA.EB.A4IS.01A.21R.A266.07",5.3478,9.8167,2.1993,4.3194,3.2367,4.3373,-4.0198
"TCGA.EB.A4OY.01A.11R.A266.07",9.8165,14.6049,1.6128,0.3297,0.419,-1.004,-6.1438
"TCGA.EB.A4OZ.01A.12R.A266.07",7.0594,10.3666,2.2311,4.4658,4.6407,7.1324,1.1384
"TCGA.EB.A4P0.01A.41R.A266.07",6.285,12.8883,2.7975,3.1684,0.8645,1.0755,-7.4487
"TCGA.EB.A4XL.01A.11R.A27Q.07",6.0607,14.1664,6.2001,6.4018,3.5067,3.226,-2.9111
"TCGA.EB.A51B.01A.11R.A27Q.07",6.1592,11.1838,1.6446,2.8107,2.0863,2.5752,-6.2813
"TCGA.EB.A550.01A.61R.A27Q.07",4.9798,11.7108,5.7326,7.1108,4.9092,6.6761,2.2438
"TCGA.EB.A551.01A.21R.A27Q.07",5.082,11.4573,1.5525,4.3918,1.6898,1.7896,-6.2446
"TCGA.EB.A553.01A.12R.A27Q.07",9.5188,13.124,-1.5993,0.4492,0.0082,0.6629,-5.2532
"TCGA.EB.A57M.01A.51R.A311.07",6.633,11.8738,3.1107,4.5183,4.0571,8.0925,1.8372
"TCGA.EB.A5FP.01A.11R.A27Q.07",9.5367,14.1745,1.6636,2.7893,1.1561,-0.4986,-5.1923
"TCGA.EB.A5KH.06A.11R.A27Q.07",6.9913,12.6891,2.1332,2.8404,0.1193,2.0573,-5.2337
"TCGA.EB.A5SE.01A.11R.A311.07",5.9039,14.5064,6.2911,4.8562,0.3206,1.1272,-6.4011
"TCGA.EB.A5SF.01A.11R.A311.07",9.5152,13.5317,1.4375,1.5441,2.143,6.3104,2.7667
"TCGA.EB.A5SG.06A.11R.A311.07",7.7744,13.2445,1.8044,2.8408,2.7206,3.2932,-2.8203
"TCGA.EB.A5SH.06A.11R.A311.07",7.2301,12.4012,0.9389,1.4396,-1.2538,0.7305,-4.5854
"TCGA.EB.A5UL.06A.11R.A311.07",10.0063,14.6501,1.8965,2.5119,0.4189,-1.2852,-6.3735
"TCGA.EB.A5UM.01A.11R.A311.07",6.5562,15.3268,2.3054,4.574,0.7808,0.4374,-5.5335
"TCGA.EB.A5UN.06A.11R.A311.07",8.1415,15.3967,2.6149,3.7157,3.8543,3.389,-6.2026
"TCGA.EB.A5VU.01A.21R.A32P.07",3.8465,12.8075,4.4787,5.9051,3.5615,1.6673,-5.3953
"TCGA.EB.A5VV.06A.11R.A32P.07",0.3325,-0.344,-0.8624,-1.2246,0.5002,3.6679,-1.6247
"TCGA.EB.A6L9.06A.11R.A32P.07",8.9451,13.7532,2.2747,1.8134,2.0455,3.4414,-2.6611
"TCGA.EB.A6QY.01A.12R.A32P.07",11.0914,13.3044,-0.7899,0.9365,-0.0696,2.1039,-2.3271
"TCGA.EB.A6QZ.01A.12R.A32P.07",6.9487,14.8908,7.0137,5.916,2.1026,1.8144,-6.4546
"TCGA.EB.A6R0.01A.12R.A32P.07",7.4235,12.7168,2.3356,2.8723,1.3401,-0.3657,-7.1026
"TCGA.EB.A82B.01A.11R.A352.07",8.5731,13.7069,1.1333,1.8252,1.7757,2.4134,-4.6072
"TCGA.EB.A82C.01A.11R.A352.07",5.2035,11.6764,2.7615,5.0429,1.8586,2.3309,-5.6072
"TCGA.EB.A85I.01A.11R.A352.07",6.5621,11.9201,4.1426,3.9564,2.7863,4.5883,-6.17
"TCGA.EB.A85J.01A.12R.A352.07",8.9056,11.9762,0.5975,1.8996,-0.023,0.3713,-5.9955
"TCGA.EB.A97M.01A.11R.A38C.07",10.0942,15.1889,2.4541,3.2368,1.3427,1.2431,-5.8225
"TCGA.EE.A17X.06A.11R.A18S.07",11.5797,14.3062,-1.7216,-0.9097,-2.0085,-0.5655,-5.8951
"TCGA.EE.A17Y.06A.11R.A18T.07",2.5261,10.9246,3.9867,6.3998,6.609,6.9205,-6.0265
"TCGA.EE.A17Z.06A.11R.A18S.07",7.0149,11.3616,4.4948,2.6104,-0.398,-0.0962,-3.9306
"TCGA.EE.A180.06A.11R.A21D.07",7.7293,14.0995,3.9866,3.4535,0.3716,0.4219,-7.0912
"TCGA.EE.A181.06A.11R.A18S.07",8.9234,12.9248,1.7047,0.1278,-0.3088,-0.7932,-5.545
"TCGA.EE.A182.06A.11R.A18T.07",10.6064,13.8793,1.004,1.7078,1.6334,4.0577,-1.1288
"TCGA.EE.A183.06A.11R.A18S.07",10.2716,12.9088,0.8697,2.2595,1.9715,3.5492,-2.8973
"TCGA.EE.A184.06A.11R.A18S.07",10.0154,15.1548,1.6546,3.5024,-0.6169,-0.1489,-6.5973
"TCGA.EE.A185.06A.11R.A18S.07",10.6634,15.7608,-0.0163,1.1123,-0.8433,-0.0947,-5.6745
"TCGA.EE.A20B.06A.11R.A18U.07",2.8961,10.0962,6.2948,7.8031,4.967,5.2778,-5.6871
"TCGA.EE.A20C.06A.11R.A18S.07",1.9591,10.0867,4.8391,6.4112,0.97,1.7381,-9.0566
"TCGA.EE.A20F.06A.21R.A18S.07",9.2927,14.1612,1.195,3.9753,0.9124,1.6473,-4.5858
"TCGA.EE.A20H.06A.11R.A18S.07",-2.1822,6.7464,3.1628,6.6951,1.9533,4.6143,-3.3038
"TCGA.EE.A20I.06A.11R.A18U.07",10.3649,14.6156,0.5986,3.8305,1.4582,3.0556,-5.2349
"TCGA.EE.A29A.06A.12R.A18U.07",-0.2925,8.2342,3.8038,7.8769,6.8043,7.5655,-6.8018
"TCGA.EE.A29B.06A.11R.A18U.07",7.3924,12.6541,2.7968,2.337,-1.2114,0.1231,-6.9373
"TCGA.EE.A29C.06A.21R.A18S.07",10.7246,13.4379,0.4066,2.854,2.8497,4.8401,-3.6956
"TCGA.EE.A29D.06A.11R.A18T.07",9.5523,14.5917,2.2272,3.4389,1.6147,0.969,-5.6201
"TCGA.EE.A29E.06A.11R.A18T.07",8.4656,13.0234,-1.2071,1.8624,3.219,0.9065,-6.2764
"TCGA.EE.A29G.06A.12R.A18T.07",6.407,11.8188,4.4864,4.9159,4.023,5.4621,3.1292
"TCGA.EE.A29H.06A.12R.A18S.07",10.465,14.6594,2.2617,3.0045,2.406,2.4421,-3.8629
"TCGA.EE.A29L.06A.12R.A18S.07",10.1094,13.9865,-0.4921,0.7096,-1.2237,-1.2946,-8.672
"TCGA.EE.A29M.06A.11R.A18T.07",11.3796,14.3434,1.465,0.3677,-1.6312,-2.0968,-5.3111
"TCGA.EE.A29N.06A.12R.A18S.07",10.1609,13.8369,2.7261,4.6464,1.5569,3.1144,-4.108
"TCGA.EE.A29P.06A.11R.A18T.07",5.6488,12.0409,2.0507,3.8465,0.8386,2.1697,-6.0738
"TCGA.EE.A29Q.06A.11R.A18T.07",5.5386,15.1577,2.9221,5.4606,2.1371,0.5614,-8.5132
"TCGA.EE.A29R.06A.11R.A18T.07",3.2616,13.0648,5.3807,7.8507,4.888,6.2957,-6.0636
"TCGA.EE.A29S.06A.11R.A18T.07",4.9429,11.9823,3.3959,2.4857,0.7878,3.3785,-4.6582
"TCGA.EE.A29T.06A.11R.A18T.07",3.2311,10.3226,3.967,6.7277,5.3388,5.3887,-4.958
"TCGA.EE.A29V.06A.12R.A18S.07",11.162,15.4636,-0.3603,0.7643,0.5732,1.3562,-4.8947
